,continent,Year,Energy use (kg of oil equivalent per capita)
558,Europe,2002,4163.45010589
559,Europe,2007,4468.96035161
560,Europe,1962,2296.28956262
561,Europe,1967,3061.11010693
562,Europe,1972,3858.59212164
563,Europe,1977,3830.10381024
564,Europe,1982,3422.37480485
565,Europe,1987,3819.83212874
566,Europe,1992,3561.89036948
567,Europe,1997,3848.1558435999996
568,Europe,2002,3535.09801372
569,Europe,2007,3622.59683256
579,Africa,2007,178.904528787
592,Americas,1972,573.372745636
593,Americas,1977,601.951784846
594,Americas,1982,596.93367919
595,Americas,1987,594.381238984
596,Americas,1992,603.781376066
597,Americas,1997,749.844735219
598,Americas,2002,819.797049144
599,Americas,2007,763.408932512
642,Americas,1972,360.600661999
643,Americas,1977,568.073705272
644,Americas,1982,666.635807378
645,Americas,1987,602.470062495
646,Americas,1992,629.220777401
647,Americas,1997,721.687588695
648,Americas,2002,739.4547575380002
649,Americas,2007,833.203582927
662,Americas,1972,484.96788820300003
663,Americas,1977,622.1297874219999
664,Americas,1982,595.2355137530001
665,Americas,1987,503.481769676
666,Americas,1992,525.453706523
667,Americas,1997,624.096762293
668,Americas,2002,720.3532811819998
669,Americas,2007,748.1199930380002
679,Africa,2007,2641.94245101
686,Africa,1992,277.580928028
687,Africa,1997,319.16492977400003
688,Africa,2002,197.54986892
689,Africa,2007,162.700034655
702,Africa,1972,434.793195834
703,Africa,1977,432.458375494
704,Africa,1982,434.058222854
705,Africa,1987,437.23499529599997
706,Africa,1992,431.15182408
707,Africa,1997,435.145404589
708,Africa,2002,439.254909387
709,Africa,2007,442.86665148300006
780,Europe,1962,2361.74387608
781,Europe,1967,3126.42604539
782,Europe,1972,4188.16067653
783,Europe,1977,4516.24806759
784,Europe,1982,4805.49388193
785,Europe,1987,5960.69258613
786,Europe,1992,5380.99306782
787,Europe,1997,6276.95169203
788,Europe,2002,6705.43983596
789,Europe,2007,6967.21323874
800,Europe,1962,1852.7357712
801,Europe,1967,2241.91139524
802,Europe,1972,3160.80483651
803,Europe,1977,3155.62146854
804,Europe,1982,3272.05274478
805,Europe,1987,3690.65145306
806,Europe,1992,3954.00370317
807,Europe,1997,4049.35046526
808,Europe,2002,4225.60695353
809,Europe,2007,4120.3058212
822,Africa,1972,1707.3062928
823,Africa,1977,2000.90013642
824,Africa,1982,2069.78785109
825,Africa,1987,1470.39664628
826,Africa,1992,1298.09635297
827,Africa,1997,1236.01768782
828,Africa,2002,1229.36459426
829,Africa,2007,1281.68189093
